source,target,weight
ATP-dependent_RNA_helicase_DDX24,ATP-binding_cassette_sub-family_F_member_2,0.0001
ATP-dependent_RNA_helicase_DDX24,P40507,0.0028
ATP-dependent_RNA_helicase_DDX24,Delta(14)-sterol_reductase_LBR,0.0001
ATP-dependent_RNA_helicase_DDX24,Q9VD51,0.8386
ATP-dependent_RNA_helicase_DDX24,Poly(rC)-binding_protein_1,0.0009
ATP-dependent_RNA_helicase_DDX24,Q9VPT3,0.7891
ATP-dependent_RNA_helicase_DDX24,Q04225,0.0001
ATP-dependent_RNA_helicase_DDX24,Q9VTM5,0.0001
ATP-dependent_RNA_helicase_DDX24,Chromobox_protein_homolog_3,0.0001
ATP-dependent_RNA_helicase_DDX24,ATP-dependent_RNA_helicase_DDX50,0.8202
ATP-dependent_RNA_helicase_DDX24,Q9VVK8,0.7706
ATP-dependent_RNA_helicase_DDX24,Serine_and_arginine-rich_splicing_factor_11,0.0001
ATP-dependent_RNA_helicase_DDX24,Influenza_virus_NS1A-binding_protein_homolog,0.0001
ATP-dependent_RNA_helicase_DDX24,60S_ribosomal_protein_L27a,0.0002
ATP-dependent_RNA_helicase_DDX24,RNA-binding_protein_39,0.0001
ATP-dependent_RNA_helicase_DDX24,RPL27A,0.0002
ATP-dependent_RNA_helicase_DDX24,E3_ubiquitin-protein_ligase_TRIM71,0.0001
ATP-dependent_RNA_helicase_DDX24,Probable_ATP-dependent_RNA_helicase_DDX17,0.7831
ATP-dependent_RNA_helicase_DDX24,Probable_ATP-dependent_RNA_helicase_DDX6,0.7161
ATP-dependent_RNA_helicase_DDX24,Putative_RNA-binding_protein_Luc7-like_1,0.0001
ATP-dependent_RNA_helicase_DDX24,RPL27,0.0001
ATP-dependent_RNA_helicase_DDX24,Myelin_expression_factor_2,0.0001
ATP-dependent_RNA_helicase_DDX24,Kinesin-like_protein_KIF20B,0.0001
ATP-dependent_RNA_helicase_DDX24,Q8T8R1,0.0083
ATP-dependent_RNA_helicase_DDX24,Q8SY39,0.8393
ATP-dependent_RNA_helicase_DDX24,Heterogeneous_nuclear_ribonucleoprotein_H,0.0001
ATP-dependent_RNA_helicase_DDX24,Q9Y134,0.0005
ATP-dependent_RNA_helicase_DDX24,Q9VV61,0.0002
ATP-dependent_RNA_helicase_DDX24,40S_ribosomal_protein_S21,0.0005
ATP-dependent_RNA_helicase_DDX24,Nucleolar_RNA_helicase_2,0.8108
ATP-dependent_RNA_helicase_DDX24,Glyceraldehyde-3-phosphate_dehydrogenase,0.0001
ATP-dependent_RNA_helicase_DDX24,Q12476,0.0039
ATP-dependent_RNA_helicase_DDX24,Probable_dimethyladenosine_transferase,0.0001
ATP-dependent_RNA_helicase_DDX24,Histone-lysine_N-methyltransferase___H3_lysine-36_specific,0.0001
ATP-dependent_RNA_helicase_DDX24,Poly(rC)-binding_protein_2,0.0007
ATP-dependent_RNA_helicase_DDX24,Elongation_factor_1-alpha_1,0.0001
ATP-dependent_RNA_helicase_DDX24,Splicing_factor_U2AF_65_kDa_subunit,0.0004
ATP-dependent_RNA_helicase_DDX24,O76927,0.0005
ATP-dependent_RNA_helicase_DDX24,Elongation_factor_2,0.0001
ATP-dependent_RNA_helicase_DDX24,Heterogeneous_nuclear_ribonucleoprotein_U-like_protein_2,0.0002
ATP-dependent_RNA_helicase_DDX24,Heterogeneous_nuclear_ribonucleoprotein_K,0.0006
ATP-dependent_RNA_helicase_DDX24,RPS21,0.0005
ATP-dependent_RNA_helicase_DDX24,P13060,0.0001
ATP-dependent_RNA_helicase_DDX24,60S_ribosomal_protein_L27,0.0001
ATP-dependent_RNA_helicase_DDX24,Probable_ATP-dependent_RNA_helicase_DDX46,0.7928
ATP-dependent_RNA_helicase_DDX24,Nucleolin,0.0001
ATP-dependent_RNA_helicase_DDX24,Eukaryotic_translation_initiation_factor_4B,0.0001
ATP-dependent_RNA_helicase_DDX24,Isoform_2_of_Splicing_regulatory_glutamine__lysine-rich_protein_1,0.0002
ATP-dependent_RNA_helicase_DDX24,Non-POU_domain-containing_octamer-binding_protein,0.0001
ATP-dependent_RNA_helicase_DDX24,Q9VIF6,0.8505
ATP-dependent_RNA_helicase_DDX24,RNA-binding_protein_25,0.0003
ATP-dependent_RNA_helicase_DDX24,E3_ubiquitin-protein_ligase_TRIP12,0.0002
ATP-dependent_RNA_helicase_DDX24,ATP-dependent_RNA_helicase_DDX1,0.735
ATP-dependent_RNA_helicase_DDX24,Insulin-like_growth_factor_2_mRNA-binding_protein_3,0.0007
ATP-dependent_RNA_helicase_DDX24,Q9VAQ5,0.0001
ATP-dependent_RNA_helicase_DDX24,Eukaryotic_initiation_factor_4A-I,0.6911
ATP-dependent_RNA_helicase_DDX24,Zinc_finger_CCHC_domain-containing_protein_3,0.0023
ATP-dependent_RNA_helicase_DDX24,Q5U0X8,0.0001
ATP-dependent_RNA_helicase_DDX24,ATP-dependent_RNA_helicase_DDX3X,0.7715
ATP-dependent_RNA_helicase_DDX24,CAD_protein,0.0001
ATP-dependent_RNA_helicase_DDX24,Q9VX34,0.8127
ATP-dependent_RNA_helicase_DDX24,Proteasome_subunit_alpha_type-4,0.0001
ATP-dependent_RNA_helicase_DDX24,Transcription_intermediary_factor_1-beta,0.0001
ATP-dependent_RNA_helicase_DDX24,Heterogeneous_nuclear_ribonucleoprotein_D0,0.0001
ATP-dependent_RNA_helicase_DDX24,P41819,0.0001
ATP-dependent_RNA_helicase_DDX24,ATP-binding_cassette_sub-family_E_member_1,0.0002
ATP-dependent_RNA_helicase_DDX24,Probable_ATP-dependent_RNA_helicase_DDX5,0.782
ATP-dependent_RNA_helicase_DDX24,E3_ubiquitin-protein_ligase_NEDD4,0.0002
ATP-dependent_RNA_helicase_DDX24,Q07886,0.8674
ATP-dependent_RNA_helicase_DDX24,116_kDa_U5_small_nuclear_ribonucleoprotein_component,0.0001
ATP-dependent_RNA_helicase_DDX24,Luc7-like_protein_3,0.0001
ATP-dependent_RNA_helicase_DDX24,Heterogeneous_nuclear_ribonucleoprotein_A3,0.0001
ATP-dependent_RNA_helicase_DDX24,Eukaryotic_translation_initiation_factor_2-alpha_kinase_3,0.0001
ATP-dependent_RNA_helicase_DDX24,Q86B47,0.7457
ATP-dependent_RNA_helicase_DDX24,Insulin-like_growth_factor_2_mRNA-binding_protein_1,0.0006
ATP-dependent_RNA_helicase_DDX24,ATP-dependent_RNA_helicase_DDX18,0.834
ATP-dependent_RNA_helicase_DDX24,Q9VSS1,0.0002
ATP-dependent_RNA_helicase_DDX24,Q9VJG2,0.0001
ATP-dependent_RNA_helicase_DDX24,RNA_helicase,0.0001
H__ACA_ribonucleoprotein_complex_subunit_DKC1,P33322,0.9986979166666666
H__ACA_ribonucleoprotein_complex_subunit_DKC1,Q9W3C0,0.0013020833333333333
H__ACA_ribonucleoprotein_complex_subunit_DKC1,O44081,0.9908854166666666
H__ACA_ribonucleoprotein_complex_subunit_DKC1,RPL36,0.0013020833333333333
H__ACA_ribonucleoprotein_complex_subunit_DKC1,Acyl-CoA_dehydrogenase_family_member_10,0.0013020833333333333
H__ACA_ribonucleoprotein_complex_subunit_DKC1,60S_ribosomal_protein_L36,0.0013020833333333333
40S_ribosomal_protein_S15,RPL8,0.006718924972004479
40S_ribosomal_protein_S15,RPS27A,0.0033594624860022394
40S_ribosomal_protein_S15,Ubiquitin-40S_ribosomal_protein_S27a,0.0033594624860022394
40S_ribosomal_protein_S15,Q7JZW2,0.9630459126539753
40S_ribosomal_protein_S15,Polyubiquitin-B,0.0033594624860022394
40S_ribosomal_protein_S15,RPS15,1.0
40S_ribosomal_protein_S15,Splicing_factor_U2AF_65_kDa_subunit,0.0011198208286674132
40S_ribosomal_protein_S15,60S_ribosomal_protein_L8,0.006718924972004479
40S_ribosomal_protein_S15,Ras_GTPase-activating_protein-binding_protein_2,0.0011198208286674132
40S_ribosomal_protein_S15,RPL34,0.0011198208286674132
40S_ribosomal_protein_S15,RNA_binding_motif_protein___X-linked-like_2,0.0033594624860022394
40S_ribosomal_protein_S15,FAU_ubiquitin-like_and_ribosomal_protein_S30,0.0022396416573348264
40S_ribosomal_protein_S15,60S_ribosomal_protein_L34,0.0011198208286674132
40S_ribosomal_protein_S15,Q9VHE5,0.0011198208286674132
40S_ribosomal_protein_S15,DnaJ_homolog_subfamily_A_member_2,0.0011198208286674132
40S_ribosomal_protein_S15,RPL40,0.0033594624860022394
40S_ribosomal_protein_S15,P15357,0.0033594624860022394
40S_ribosomal_protein_S15,RPS30,0.0033594624860022394
40S_ribosomal_protein_S15,Q9VBH8,0.0011198208286674132
Q9VC28,Q9VTM5,0.0020920502092050207
Q9VC28,Probable_dimethyladenosine_transferase,0.0020920502092050207
Q9VC28,Q9VAQ5,0.0020920502092050207
Q9VC28,60S_ribosome_subunit_biogenesis_protein_NIP7_homolog,1.0
Q9VC28,P41819,0.0020920502092050207
40S_ribosomal_protein_S7,Myosin_regulatory_light_chain_12B,0.001364256480218281
40S_ribosomal_protein_S7,Q7KNF1,0.001364256480218281
40S_ribosomal_protein_S7,Q9VFJ1,0.001364256480218281
40S_ribosomal_protein_S7,Myosin_light_polypeptide_6,0.001364256480218281
40S_ribosomal_protein_S7,T-complex_protein_1_subunit_zeta,0.001364256480218281
40S_ribosomal_protein_S7,Q9VA91,0.9959072305593452
40S_ribosomal_protein_S7,Spectrin_alpha_chain___non-erythrocytic_1,0.001364256480218281
40S_ribosomal_protein_S7,RPS7,1.0
O46072,Probable_ATP-dependent_RNA_helicase_DDX27,0.00013259082471492973
O46072,Probable_ATP-dependent_RNA_helicase_DDX31,0.00013259082471492973
O46072,RPL30,0.00013259082471492973
O46072,DNA_replication_licensing_factor_MCM5,0.00013259082471492973
O46072,40S_ribosomal_protein_S24,0.00013259082471492973
O46072,RPL19,0.00013259082471492973
O46072,Serine__arginine-rich_splicing_factor_1,0.00013259082471492973
O46072,Q9VPT3,0.00013259082471492973
O46072,Protein_flightless-1_homolog,0.00013259082471492973
O46072,Q7KNF1,0.00013259082471492973
O46072,ATP-dependent_RNA_helicase_DDX50,0.00013259082471492973
O46072,Q9VVK8,0.00013259082471492973
O46072,Putative_ATP-dependent_RNA_helicase_DHX57,0.9907186422699549
O46072,Probable_ATP-dependent_RNA_helicase_DDX17,0.00013259082471492973
O46072,Cyclin-dependent_kinase_13,0.00013259082471492973
O46072,Q95RG1,0.00013259082471492973
O46072,Q9VS62,0.00013259082471492973
O46072,Q8T8R1,0.00026518164942985947
O46072,Q02555,0.00013259082471492973
O46072,40S_ribosomal_protein_S3,0.00013259082471492973
O46072,ATPase_family_AAA_domain-containing_protein_3,0.00013259082471492973
O46072,Q8SY39,0.00013259082471492973
O46072,Nuclear_valosin-containing_protein-like,0.00013259082471492973
O46072,26S_proteasome_regulatory_subunit_6A,0.00013259082471492973
O46072,Q9Y134,0.00013259082471492973
O46072,Nucleolar_RNA_helicase_2,0.00013259082471492973
O46072,RPS9,0.00013259082471492973
O46072,ATP-dependent_RNA_helicase_DHX15,0.9945637761866879
O46072,Q9VL25,0.9953593211349775
O46072,RPS24,0.00013259082471492973
O46072,OTU_domain-containing_protein_4,0.00013259082471492973
O46072,Q9V7P1,0.00013259082471492973
O46072,Regulator_of_nonsense_transcripts_1,0.00013259082471492973
O46072,Probable_ATP-dependent_RNA_helicase_DDX46,0.00013259082471492973
O46072,P46683,0.00013259082471492973
O46072,Q9VEJ2,0.00013259082471492973
O46072,26S_proteasome_regulatory_subunit_7,0.00013259082471492973
O46072,Exosome_RNA_helicase_MTR4,0.0003977724741447892
O46072,Q9VKV0,0.00013259082471492973
O46072,Protein_FAM98B,0.00013259082471492973
O46072,60S_ribosomal_protein_L35a,0.00013259082471492973
O46072,Transitional_endoplasmic_reticulum_ATPase,0.00013259082471492973
O46072,26S_proteasome_regulatory_subunit_8,0.00013259082471492973
O46072,26S_proteasome_regulatory_subunit_4,0.00013259082471492973
O46072,Polyadenylate-binding_protein_1,0.00013259082471492973
O46072,RPS3,0.00013259082471492973
O46072,Eukaryotic_initiation_factor_4A-I,0.00013259082471492973
O46072,Proliferation-associated_protein_2G4,0.00013259082471492973
O46072,E3_ubiquitin-protein_ligase_makorin-1,0.0011933174224343676
O46072,Putative_helicase_MOV-10,0.00013259082471492973
O46072,ATP-dependent_RNA_helicase_DDX3X,0.00013259082471492973
O46072,Cyclin-dependent_kinase_12,0.00013259082471492973
O46072,ATP-dependent_RNA_helicase_DHX30,0.984884645982498
O46072,P40493,0.00013259082471492973
O46072,Q9VX34,0.00013259082471492973
O46072,A1Z8D0,0.00013259082471492973
O46072,Proteasome_subunit_alpha_type-4,0.00013259082471492973
O46072,40S_ribosomal_protein_S9,0.00013259082471492973
O46072,26S_proteasome_regulatory_subunit_6B,0.00013259082471492973
O46072,26S_proteasome_regulatory_subunit_10B,0.00013259082471492973
O46072,RPL35A,0.00013259082471492973
O46072,Probable_ATP-dependent_RNA_helicase_DDX5,0.00013259082471492973
O46072,60S_ribosomal_protein_L19,0.00013259082471492973
O46072,Cyclin-dependent_kinase_11B,0.00013259082471492973
O46072,P47047,0.0003977724741447892
O46072,YTH_domain-containing_family_protein_1,0.017501988862370723
O46072,U1_small_nuclear_ribonucleoprotein_70_kDa,0.00013259082471492973
O46072,Q9VNB9,0.00013259082471492973
O46072,Cyclin-dependent_kinase_1,0.00013259082471492973
O46072,Q86B47,0.00013259082471492973
O46072,Fructose-bisphosphate_aldolase_A,0.00026518164942985947
O46072,YTH_domain-containing_family_protein_3,0.016573853089366215
O46072,Q9VKU8,0.00013259082471492973
O46072,60S_ribosomal_protein_L30,0.00013259082471492973
O46072,RNA_helicase,0.9185892336250332
Predicted_gene___21761,Predicted_gene___20767,1.0
Predicted_gene___21761,RIKEN_cDNA_B020031M17_gene,1.0
Predicted_gene___21761,Predicted_gene___21818,1.0
Q9W237,RPS16,1.0
Q9W237,Q9VG21,0.0024691358024691358
Q9W237,Q9VND8,0.0012345679012345679
Q9W237,rRNA_2'-O-methyltransferase_fibrillarin,0.0024691358024691358
Q9W237,Periodic_tryptophan_protein_1_homolog,0.0012345679012345679
Q9W237,Q9VK45,0.0012345679012345679
Q9W237,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.0012345679012345679
Q9W237,WD_repeat-containing_protein_18,0.0012345679012345679
Q9W237,Notchless_protein_homolog_1,0.0012345679012345679
Q9W237,Q06506,0.0012345679012345679
Q9W237,Q9VKQ3,0.0012345679012345679
Q9W237,Q5U0X8,0.0012345679012345679
Q9W237,A1Z8D0,0.0012345679012345679
Q9W237,Coatomer_subunit_beta',0.0012345679012345679
Q9W237,Q9VPR4,0.0012345679012345679
Q9W237,40S_ribosomal_protein_S16,0.9444444444444444
Q9W237,P15646,0.0024691358024691358
Q9W237,Q9W550,0.0012345679012345679
Q9W237,Q9W1V3,0.0024691358024691358
SWI__SNF_complex_subunit_SMARCC1,Lymphocyte-specific_helicase,0.0015625
SWI__SNF_complex_subunit_SMARCC1,Coiled-coil_domain-containing_protein_86,0.00078125
SWI__SNF_complex_subunit_SMARCC1,Protein_polybromo-1,0.003125
SWI__SNF_complex_subunit_SMARCC1,P91927,0.00078125
SWI__SNF_complex_subunit_SMARCC1,Transcription_activator_BRG1,0.0015625
SWI__SNF_complex_subunit_SMARCC1,Splicing_factor_3B_subunit_1,0.00234375
SWI__SNF_complex_subunit_SMARCC1,DNA-directed_RNA_polymerase_II_subunit_RPB1,0.00078125
SWI__SNF_complex_subunit_SMARCC1,Splicing_factor___proline-_and_glutamine-rich,0.00078125
SWI__SNF_complex_subunit_SMARCC1,Serine__arginine_repetitive_matrix_protein_1,0.00078125
SWI__SNF_complex_subunit_SMARCC1,SWI__SNF-related_matrix-associated_actin-dependent_regulator_of_chromatin_subfamily_A_member_5,0.0015625
RNA_cytidine_acetyltransferase,RNA_cytosine_C(5)-methyltransferase_NSUN2,0.0016638935108153079
RNA_cytidine_acetyltransferase,NOP2_nucleolar_protein,0.0016638935108153079
RNA_cytidine_acetyltransferase,Methylcrotonoyl-CoA_carboxylase_subunit_alpha___mitochondrial,0.0016638935108153079
RNA_cytidine_acetyltransferase,Methylcrotonoyl-CoA_carboxylase_beta_chain___mitochondrial,0.0016638935108153079
RNA_cytidine_acetyltransferase,P53914,1.0
RNA_cytidine_acetyltransferase,P53972,0.0016638935108153079
RNA_cytidine_acetyltransferase,A1Z909,0.0016638935108153079
RNA_cytidine_acetyltransferase,Q9VPX3,0.0016638935108153079
RNA_cytidine_acetyltransferase,Splicing_factor_3B_subunit_1,0.0016638935108153079
RNA_cytidine_acetyltransferase,P40991,0.0016638935108153079
RNA_cytidine_acetyltransferase,X2JD07,0.9900166389351082
40S_ribosomal_protein_S8,Q9V9W3,0.0013966480446927375
40S_ribosomal_protein_S8,Influenza_virus_NS1A-binding_protein_homolog,0.0013966480446927375
40S_ribosomal_protein_S8,Q8MLY8,1.0
40S_ribosomal_protein_S8,RPL6,0.0013966480446927375
40S_ribosomal_protein_S8,60S_ribosomal_protein_L6,0.0013966480446927375
40S_ribosomal_protein_S8,RPS8,1.0
60S_acidic_ribosomal_protein_P2,60S_acidic_ribosomal_protein_P0,0.006305170239596469
60S_acidic_ribosomal_protein_P2,RPLP1,0.03783102143757881
60S_acidic_ribosomal_protein_P2,mRNA_turnover_protein_4_homolog,0.0025220680958385876
60S_acidic_ribosomal_protein_P2,RPLP2,1.0
60S_acidic_ribosomal_protein_P2,RPLP0,0.011349306431273645
60S_acidic_ribosomal_protein_P2,Q7K1Q7,0.0025220680958385876
60S_acidic_ribosomal_protein_P2,P19889,0.0037831021437578815
60S_acidic_ribosomal_protein_P2,60S_acidic_ribosomal_protein_P1,0.011349306431273645
Q95TU2,Q9Y580,0.013011152416356878
Q95TU2,RNA-binding_protein_28,0.007434944237918215
Q95TU2,Protein_PRRC2C,0.03531598513011153
Q95TU2,RNA-binding_protein_34,0.011152416356877323
Q95TU2,Q04225,0.0018587360594795538
Q95TU2,Cell_growth-regulating_nucleolar_protein,0.0018587360594795538
Q95TU2,Serine_and_arginine-rich_splicing_factor_11,0.0018587360594795538
Q95TU2,RNA-binding_protein_39,0.00929368029739777
Q95TU2,Eukaryotic_translation_initiation_factor_3_subunit_A,0.0018587360594795538
Q95TU2,Q8T8R1,0.0018587360594795538
Q95TU2,Q9VXW3,0.0018587360594795538
Q95TU2,Splicing_factor_U2AF_65_kDa_subunit,0.01486988847583643
Q95TU2,Peptidyl-prolyl_cis-trans_isomerase_A,0.0018587360594795538
Q95TU2,Q9VXW4,0.0018587360594795538
Q95TU2,P35184,0.0018587360594795538
Q95TU2,Pre-mRNA-processing_factor_40_homolog_A,0.0018587360594795538
Q95TU2,Nucleolin,0.0055762081784386614
Q95TU2,Isoform_2_of_Splicing_regulatory_glutamine__lysine-rich_protein_1,0.17472118959107807
Q95TU2,Non-POU_domain-containing_octamer-binding_protein,0.0018587360594795538
Q95TU2,RNA-binding_protein_25,0.23605947955390336
Q95TU2,Cyclin-K,0.0018587360594795538
Q95TU2,Polyadenylate-binding_protein_1,0.0018587360594795538
Q95TU2,Heterogeneous_nuclear_ribonucleoproteins_C1__C2,0.0018587360594795538
Q95TU2,Q5U0X8,0.0018587360594795538
Q95TU2,RNA_binding_motif_protein___X-linked-like_2,0.0018587360594795538
Q95TU2,Pre-mRNA-splicing_factor_38B,0.05762081784386617
Q95TU2,Heterogeneous_nuclear_ribonucleoprotein_D0,0.007434944237918215
Q95TU2,Surfeit_locus_protein_6,0.0018587360594795538
Q95TU2,U1_small_nuclear_ribonucleoprotein_70_kDa,0.011152416356877323
Q95TU2,Luc7-like_protein_3,0.031598513011152414
Q95TU2,Eukaryotic_translation_initiation_factor_2-alpha_kinase_3,0.0018587360594795538
Q95TU2,Isoform_2_of_Poly(U)-binding-splicing_factor_PUF60,0.0055762081784386614
Q95TU2,Q9VJG2,0.00929368029739777
Q9Y580,ATP-dependent_RNA_helicase_DDX24,0.0003
Q9Y580,Q95TU2,0.0007
Q9Y580,Probable_ATP-dependent_RNA_helicase_DDX27,0.0002
Q9Y580,Eukaryotic_initiation_factor_4A-III,0.0003
Q9Y580,Splicing_factor_U2AF_35_kDa_subunit,0.0005
Q9Y580,Tubulin_alpha-4A_chain,0.0001
Q9Y580,Probable_ATP-dependent_RNA_helicase_DDX31,0.0002
Q9Y580,40S_ribosomal_protein_S13,0.0001
Q9Y580,Q9VSR3,0.0002
Q9Y580,RNA-binding_protein_10,0.0027
Q9Y580,RPS27A,0.0001
Q9Y580,Paraspeckle_component_1,0.2984
Q9Y580,ATP-binding_cassette_sub-family_F_member_2,0.0001
Q9Y580,RNA-binding_protein_28,0.3574
Q9Y580,Protein_PRRC2C,0.0005
Q9Y580,P40507,0.0002
Q9Y580,Serine__arginine-rich_splicing_factor_1,0.1399
Q9Y580,Q9VD51,0.0002
Q9Y580,RNA-binding_protein_14,0.2111
Q9Y580,Q9VPT3,0.0002
Q9Y580,RNA-binding_protein_34,0.3685
Q9Y580,RNA-binding_protein_5,0.01
Q9Y580,Q9VCY1,0.096
Q9Y580,Splicing_factor_45,0.0139
Q9Y580,RNA-binding_protein_with_multiple_splicing_2,0.0011
Q9Y580,Ubiquitin-40S_ribosomal_protein_S27a,0.0001
Q9Y580,Actin___aortic_smooth_muscle,0.0002
Q9Y580,ATP-dependent_RNA_helicase_DDX50,0.0002
Q9Y580,Q9VVK8,0.0002
Q9Y580,Serine_and_arginine-rich_splicing_factor_11,0.0112
Q9Y580,60S_ribosomal_protein_L27a,0.0001
Q9Y580,40S_ribosomal_protein_S18,0.0001
Q9Y580,RNA-binding_protein_39,0.4033
Q9Y580,RPL27A,0.0001
Q9Y580,Probable_ATP-dependent_RNA_helicase_DDX17,0.0002
Q9Y580,Q9VS62,0.0001
Q9Y580,Polyubiquitin-B,0.0001
Q9Y580,Q9VDE5,0.0001
Q9Y580,Myelin_expression_factor_2,0.3661
Q9Y580,Q8T8R1,0.0003
Q9Y580,Q03334,0.0001
Q9Y580,RPS13,0.0001
Q9Y580,Nuclear_valosin-containing_protein-like,0.0001
Q9Y580,Heterogeneous_nuclear_ribonucleoprotein_H,0.0029
Q9Y580,26S_proteasome_regulatory_subunit_6A,0.0001
Q9Y580,Heterogeneous_nuclear_ribonucleoprotein_U,0.0001
Q9Y580,Polyadenylate-binding_protein,0.3742
Q9Y580,Nucleolar_RNA_helicase_2,0.0002
Q9Y580,Q12476,0.0002
Q9Y580,Tubulin_alpha-3_chain,0.0001
Q9Y580,P54964,0.0005
Q9Y580,Splicing_factor_U2AF_65_kDa_subunit,0.3153
Q9Y580,Tubulin_beta-2B_chain,0.0001
Q9Y580,Q9VTL5,0.0001
Q9Y580,Peptidyl-prolyl_cis-trans_isomerase_A,0.0046
Q9Y580,26S_proteasome_non-ATPase_regulatory_subunit_3,0.0001
Q9Y580,Tubulin_beta-4B_chain,0.0001
Q9Y580,RNA-binding_protein_FUS,0.0042
Q9Y580,Probable_ATP-dependent_RNA_helicase_DDX46,0.0002
Q9Y580,Nucleolin,0.2594
Q9Y580,26S_proteasome_regulatory_subunit_7,0.0001
Q9Y580,Eukaryotic_translation_initiation_factor_4B,0.0481
Q9Y580,Isoform_2_of_Splicing_regulatory_glutamine__lysine-rich_protein_1,0.0145
Q9Y580,RPS18,0.0001
Q9Y580,Non-POU_domain-containing_octamer-binding_protein,0.267
Q9Y580,Serine__arginine-rich_splicing_factor_3,0.1679
Q9Y580,Q9VIF6,0.0002
Q9Y580,RNA-binding_protein_25,0.0046
Q9Y580,Transitional_endoplasmic_reticulum_ATPase,0.0001
Q9Y580,26S_proteasome_regulatory_subunit_8,0.0001
Q9Y580,26S_proteasome_regulatory_subunit_4,0.0001
Q9Y580,ATP-dependent_RNA_helicase_DDX1,0.0002
Q9Y580,Polyadenylate-binding_protein_1,0.3666
Q9Y580,Ras_GTPase-activating_protein-binding_protein_2,0.0277
Q9Y580,Insulin-like_growth_factor_2_mRNA-binding_protein_3,0.0173
Q9Y580,Deleted_in_azoospermia-like,0.2455
Q9Y580,Ras_GTPase-activating_protein-binding_protein_1,0.0417
Q9Y580,Eukaryotic_initiation_factor_4A-I,0.0002
Q9Y580,La-related_protein_7,0.0661
Q9Y580,Actin-related_protein_3,0.0002
Q9Y580,ADP__ATP_translocase_1,0.0001
Q9Y580,Heterogeneous_nuclear_ribonucleoproteins_C1__C2,0.0246
Q9Y580,P53331,0.0168
Q9Y580,ATP-dependent_RNA_helicase_DDX3X,0.0002
Q9Y580,ADP__ATP_translocase_2,0.0001
Q9Y580,Actin___cytoplasmic_1,0.0002
Q9Y580,RNA_binding_motif_protein___X-linked-like_2,0.301
Q9Y580,Q9VC94,0.0001
Q9Y580,Polypyrimidine_tract-binding_protein_1,0.0225
Q9Y580,A8DYB0,0.0001
Q9Y580,Q9VX34,0.0002
Q9Y580,P10080,0.0006
Q9Y580,Heterogeneous_nuclear_ribonucleoprotein_D0,0.1581
Q9Y580,26S_proteasome_regulatory_subunit_6B,0.0001
Q9Y580,26S_proteasome_regulatory_subunit_10B,0.0001
Q9Y580,Q9VBU2,0.0001
Q9Y580,Probable_ATP-dependent_RNA_helicase_DDX5,0.0002
Q9Y580,Tubulin_beta-5_chain,0.0001
