source,target,weight
WD_repeat-containing_protein_18,P35184,0.5212
Transcription_intermediary_factor_1-beta,E3_ubiquitin-protein_ligase_TRIM71,0.5224671470962272
Isoform_2_of_Poly(U)-binding-splicing_factor_PUF60,Polyadenylate-binding_protein_1,0.5228
Polyadenylate-binding_protein_1,Isoform_2_of_Poly(U)-binding-splicing_factor_PUF60,0.5228
Q9VEN6,40S_ribosomal_protein_S14,0.5232876712328767
Q04225,Histone-binding_protein_RBBP4,0.5233317778814746
Q5U0X8,WD_repeat-containing_protein_18,0.5247
WD_repeat-containing_protein_18,Q5U0X8,0.5247
Q7K0Y1,Q9W4Z9,0.5252187339166238
Splicing_factor_45,RNA-binding_protein_39,0.5257958287596048
Q7K0Y1,Q9VE98,0.5265054040144107
Non-POU_domain-containing_octamer-binding_protein,Polyadenylate-binding_protein_1,0.5283
Polyadenylate-binding_protein_1,Non-POU_domain-containing_octamer-binding_protein,0.5283
Zinc_finger_protein_808,Zinc_finger_protein_979,0.5285
Zinc_finger_protein_979,Zinc_finger_protein_808,0.5285
Q9VKQ3,P35184,0.5286
Isoform_2_of_Poly(U)-binding-splicing_factor_PUF60,Polyadenylate-binding_protein,0.5287
Polyadenylate-binding_protein,Isoform_2_of_Poly(U)-binding-splicing_factor_PUF60,0.5287
Q06506,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.529862579281184
La-related_protein_7,Lupus_La_protein_homolog,0.5300734618916437
Heterogeneous_nuclear_ribonucleoproteins_C1__C2,Serine__arginine-rich_splicing_factor_3,0.5314285714285715
T-complex_protein_1_subunit_zeta,60_kDa_heat_shock_protein___mitochondrial,0.5318947567669885
Q7K0Y1,Receptor_of_activated_protein_C_kinase_1,0.5321667524446732
O18640,Q9W550,0.5323
Q9W550,O18640,0.5323
Q9VP77,DnaJ_homolog_subfamily_A_member_1,0.5343835201454105
Non-POU_domain-containing_octamer-binding_protein,Polyadenylate-binding_protein,0.5356
Polyadenylate-binding_protein,Non-POU_domain-containing_octamer-binding_protein,0.5356
Polycomb_protein_EED,Receptor_of_activated_protein_C_kinase_1,0.5356385797562269
Coatomer_subunit_beta',U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.5366
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,Coatomer_subunit_beta',0.5366
Q7JQT9,WD_repeat-containing_protein_18,0.5377
WD_repeat-containing_protein_18,Q7JQT9,0.5377
Q06506,Q9W4Z9,0.538231148696265
40S_ribosomal_protein_S9,Q7JZ53,0.5399473222124671
Transcriptional_repressor_CTCF,Zinc_finger_protein_808,0.54
Zinc_finger_protein_808,Transcriptional_repressor_CTCF,0.54
Lupus_La_protein_homolog,La-related_protein_4B,0.5413223140495868
Bromodomain_adjacent_to_zinc_finger_domain_protein_2A,Protein_polybromo-1,0.5417
Nucleolin,RNA-binding_protein_39,0.5428107229894394
Polycomb_protein_EED,Coatomer_subunit_beta',0.5429252782193958
RPS12,P80455,0.5429497568881686
Protein_polybromo-1,Bromodomain_adjacent_to_zinc_finger_domain_protein_2A,0.5433299899699098
La-related_protein_7,La-related_protein_1,0.5433884297520661
Q9W550,Q06506,0.5438
CAD_protein,Methylcrotonoyl-CoA_carboxylase_subunit_alpha___mitochondrial,0.5438191881918819
Q7K0Y1,P35184,0.5442614513638703
Polycomb_protein_EED,Notchless_protein_homolog_1,0.5447800741918389
Q5U0X8,Q7JQT9,0.5459
Q7JQT9,Q5U0X8,0.5459
Q9VE98,WD_repeat-containing_protein_18,0.5481
WD_repeat-containing_protein_18,Q9VE98,0.5481
Q9VPR4,WD_repeat-containing_protein_18,0.5492
WD_repeat-containing_protein_18,Q9VPR4,0.5492
Notchless_protein_homolog_1,WD_repeat-containing_protein_18,0.5493
WD_repeat-containing_protein_18,Notchless_protein_homolog_1,0.5493
Q9VKQ3,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.5496
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,Q9VKQ3,0.5496
Polycomb_protein_EED,Q9VPR4,0.5511393746687865
Q06506,Q5U0X8,0.5511804087385482
Polycomb_protein_EED,O18640,0.5515368309485956
Histone_H1,H1_histone_family___member_X,0.5515603799185889
Polycomb_protein_EED,Q7JQT9,0.5531266560678325
Q7K0Y1,Q5U0X8,0.5542974781266083
Q7K0Y1,Q9VKQ3,0.5553268142048379
Zinc_finger_and_SCAN_domain-containing_protein_10,Zinc_finger_protein_979,0.5559
Zinc_finger_protein_979,Zinc_finger_and_SCAN_domain-containing_protein_10,0.5559
P35184,Q9W4Z9,0.5559906029757243
Q12476,P40507,0.5564814814814815
Isoform_2_of_Poly(U)-binding-splicing_factor_PUF60,RNA-binding_protein_39,0.5565
RNA-binding_protein_39,Isoform_2_of_Poly(U)-binding-splicing_factor_PUF60,0.5565
RPS9,Q7JZ53,0.5572217837411207
Q9VE98,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.558
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,Q9VE98,0.558
Q9W550,WD_repeat-containing_protein_18,0.5593
WD_repeat-containing_protein_18,Q9W550,0.5593
Isoform_2_of_Splicing_regulatory_glutamine__lysine-rich_protein_1,Serine_and_arginine-rich_splicing_factor_11,0.5596658711217184
Q7JQT9,Q9W4Z9,0.5603
Q9W4Z9,Q7JQT9,0.5603
116_kDa_U5_small_nuclear_ribonucleoprotein_component,Elongation_factor_1-alpha_1,0.5606353294698433
Q9VRH6,116_kDa_U5_small_nuclear_ribonucleoprotein_component,0.5615084525357608
Q7K0Y1,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.5627895007720021
Q9VE98,Q9VKQ3,0.5632
Q9VKQ3,Q9VE98,0.5632
Q9VE98,Q9W4Z9,0.5655
Q9W4Z9,Q9VE98,0.5655
Coatomer_subunit_beta',Q9VKQ3,0.5663
Q9VKQ3,Coatomer_subunit_beta',0.5663
Heterogeneous_nuclear_ribonucleoprotein_A3,RNA_binding_motif_protein___X-linked-like_2,0.566675331427086
Transcriptional_repressor_CTCF,Zinc_finger_protein_980,0.5667
Zinc_finger_protein_980,Transcriptional_repressor_CTCF,0.5667
Coatomer_subunit_beta',Q9W4Z9,0.5668
Q5U0X8,Q9VE98,0.5668
Q9VE98,Q5U0X8,0.5668
Q9W4Z9,Coatomer_subunit_beta',0.5668
Q7K0Y1,Q9VPR4,0.5679361811631498
Q9W4Z9,P35184,0.568
Eukaryotic_initiation_factor_4A-I,Q86B47,0.5689
Q86B47,Eukaryotic_initiation_factor_4A-I,0.5689
Q7K0Y1,Q06506,0.5692228512609367
Q7K0Y1,Q7JQT9,0.5697375193000515
Q06506,Coatomer_subunit_beta',0.5697674418604651
P35184,Q7JQT9,0.5708692247454973
Eukaryotic_initiation_factor_4A-III,Q86B47,0.5714
Q86B47,Eukaryotic_initiation_factor_4A-III,0.5714
P35184,Q06506,0.5714565387627252
Q7K0Y1,Notchless_protein_homolog_1,0.5715388574369532
Receptor_of_activated_protein_C_kinase_1,WD_repeat-containing_protein_18,0.5722
WD_repeat-containing_protein_18,Receptor_of_activated_protein_C_kinase_1,0.5722
Q9VR42,Q9VBU2,0.5722284434490481
Q9VMM7,Q9I7W5,0.5731292517006803
Serine__arginine-rich_splicing_factor_1,Serine__arginine-rich_splicing_factor_5,0.574307888335457
Q9VKQ3,Receptor_of_activated_protein_C_kinase_1,0.5762
Receptor_of_activated_protein_C_kinase_1,Q9VKQ3,0.5762
O18640,WD_repeat-containing_protein_18,0.5766
Q5U0X8,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.5766
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,Q5U0X8,0.5766
WD_repeat-containing_protein_18,O18640,0.5766
Q9VBU2,Q9VR42,0.5774011299435028
WD_repeat-containing_protein_18,Q06506,0.5779
P35184,Q9VE98,0.5783085356303838
P35184,Q5U0X8,0.5787979639780736
Q7JQT9,Q9VKQ3,0.5796
Q9VKQ3,Q7JQT9,0.5796
Q7JQT9,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.5798
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,Q7JQT9,0.5798
Q9VV61,116_kDa_U5_small_nuclear_ribonucleoprotein_component,0.5804186711740996
Q9VKQ3,Q06506,0.5806
Q7JQT9,P35184,0.5832
Q04225,Q8SYL1,0.5856276248250116
Eukaryotic_translation_initiation_factor_4B,RNA-binding_protein_34,0.588021778584392
Q9VE98,P35184,0.5908
Q5U0X8,P35184,0.5913
Q06506,Q7JQT9,0.5913495419309373
Coatomer_subunit_beta',Q5U0X8,0.5928
Coatomer_subunit_beta',Q9VPR4,0.5928
Q5U0X8,Coatomer_subunit_beta',0.5928
Q9VPR4,Coatomer_subunit_beta',0.5928
Q06506,Q9VE98,0.592847075405215
Serine__arginine-rich_splicing_factor_1,Serine__arginine-rich_splicing_factor_3,0.5929572570369512
Q9W4Z9,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.5937
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,Q9W4Z9,0.5937
Coatomer_subunit_beta',Notchless_protein_homolog_1,0.5954
Notchless_protein_homolog_1,Coatomer_subunit_beta',0.5954
Serine__arginine-rich_splicing_factor_3,Serine__arginine-rich_splicing_factor_5,0.5964246357291539
Q9VRH6,P13060,0.5981794538361509
Transcriptional_repressor_CTCF,Zinc_finger_and_SCAN_domain-containing_protein_10,0.5994
Zinc_finger_and_SCAN_domain-containing_protein_10,Transcriptional_repressor_CTCF,0.5994
Q06506,Q9VPR4,0.6003347427766033
Q7K0Y1,O18640,0.6008749356664951
O18640,Q9VKQ3,0.6009
Q9VKQ3,O18640,0.6009
P35184,O18640,0.6013116679718089
Importin-5,Importin-4,0.6013372335979942
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,Q06506,0.6015
Probable_ATP-dependent_RNA_helicase_DDX6,Q86B47,0.6022
Q86B47,Probable_ATP-dependent_RNA_helicase_DDX6,0.6022
P35184,Receptor_of_activated_protein_C_kinase_1,0.6036609240407205
Notchless_protein_homolog_1,Q9W4Z9,0.6054
Q9W4Z9,Notchless_protein_homolog_1,0.6054
ATP-dependent_RNA_helicase_DDX1,Q86B47,0.6092
Q86B47,ATP-dependent_RNA_helicase_DDX1,0.6092
Histone-binding_protein_RBBP4,Q8SYL1,0.6102
Q8SYL1,Histone-binding_protein_RBBP4,0.6102
Coatomer_subunit_beta',Receptor_of_activated_protein_C_kinase_1,0.6107
Q9VPR4,Q9W4Z9,0.6107
Q9W4Z9,Q9VPR4,0.6107
Receptor_of_activated_protein_C_kinase_1,Coatomer_subunit_beta',0.6107
Q9W4Z9,Q06506,0.611
Q9I7W5,Q9VMM7,0.6127272727272727
ATPase_family_AAA_domain-containing_protein_3,Transitional_endoplasmic_reticulum_ATPase,0.6129
Transitional_endoplasmic_reticulum_ATPase,ATPase_family_AAA_domain-containing_protein_3,0.6129
Q9VXW4,Q9VXW3,0.6130558183538316
Q9VRH6,Elongation_factor_2,0.6132639791937581
Q7K0Y1,Coatomer_subunit_beta',0.6139989706639217
O18640,P35184,0.6143
Ras_GTPase-activating_protein-binding_protein_2,Ras_GTPase-activating_protein-binding_protein_1,0.6143908421913328
Coatomer_subunit_beta',Q9VE98,0.6144
Q9VE98,Coatomer_subunit_beta',0.6144
Receptor_of_activated_protein_C_kinase_1,P35184,0.6167
ATPase_family_AAA_domain-containing_protein_3,Q9VS62,0.6178
Q9VS62,ATPase_family_AAA_domain-containing_protein_3,0.6178
Q0E931,Q9VRH6,0.6192861615529117
RPS12,40S_ribosomal_protein_S12,0.6207455429497569
Q0E931,Q9VV61,0.621477770820288
Q06506,Notchless_protein_homolog_1,0.6215644820295984
Zinc_finger_protein_979,Zinc_finger_protein_980,0.6245
Zinc_finger_protein_980,Zinc_finger_protein_979,0.6245
P40507,Q12476,0.6247401247401247
Q5U0X8,Q06506,0.6257
P46948,P53256,0.6257018091079226
Spectrin_beta_chain___non-erythrocytic_1,Filamin-A,0.6258
Serine__arginine-rich_splicing_factor_3,Serine__arginine-rich_splicing_factor_1,0.62679074323497
Notchless_protein_homolog_1,Q5U0X8,0.6285
Q5U0X8,Notchless_protein_homolog_1,0.6285
Q5U0X8,Q9VPR4,0.6289
Q9VPR4,Q5U0X8,0.6289
ATPase_family_AAA_domain-containing_protein_3,Nuclear_valosin-containing_protein-like,0.6301
Nuclear_valosin-containing_protein-like,ATPase_family_AAA_domain-containing_protein_3,0.6301
P35184,Notchless_protein_homolog_1,0.6302858261550509
Eukaryotic_initiation_factor_4A-I,Probable_ATP-dependent_RNA_helicase_DDX31,0.6319
Probable_ATP-dependent_RNA_helicase_DDX31,Eukaryotic_initiation_factor_4A-I,0.6319
Q06506,Receptor_of_activated_protein_C_kinase_1,0.6327519379844961
26S_proteasome_regulatory_subunit_8,ATPase_family_AAA_domain-containing_protein_3,0.6332
ATPase_family_AAA_domain-containing_protein_3,26S_proteasome_regulatory_subunit_8,0.6332
P35184,Q9VPR4,0.6332223962411903
Q9VPX3,Q9VDZ4,0.6336363636363637
Q9VE98,Q9VPR4,0.6356
Q9VPR4,Q9VE98,0.6356
Q9VV61,P13060,0.6361981536861266
Receptor_of_activated_protein_C_kinase_1,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.6362
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,Receptor_of_activated_protein_C_kinase_1,0.6362
Q9VSM4,P91927,0.6368876080691642
P35184,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.6371378230227095
26S_proteasome_regulatory_subunit_6B,ATPase_family_AAA_domain-containing_protein_3,0.6382
ATPase_family_AAA_domain-containing_protein_3,26S_proteasome_regulatory_subunit_6B,0.6382
Q9VJG2,RNA-binding_protein_34,0.6382564701303756
P32495,P46223,0.6395348837209303
Notchless_protein_homolog_1,Q9VKQ3,0.6406
Q9VKQ3,Notchless_protein_homolog_1,0.6406
Myelin_expression_factor_2,Heterogeneous_nuclear_ribonucleoprotein_M,0.6412556053811659
26S_proteasome_regulatory_subunit_6A,ATPase_family_AAA_domain-containing_protein_3,0.6413
ATPase_family_AAA_domain-containing_protein_3,26S_proteasome_regulatory_subunit_6A,0.6413
Eukaryotic_initiation_factor_4A-III,Probable_ATP-dependent_RNA_helicase_DDX31,0.6413
Probable_ATP-dependent_RNA_helicase_DDX31,Eukaryotic_initiation_factor_4A-III,0.6413
P32495,60S_ribosomal_protein_L7a,0.6428571428571429
Q06506,O18640,0.6431465821000705
Notchless_protein_homolog_1,P35184,0.6439
ADP__ATP_translocase_2,Electrogenic_aspartate__glutamate_antiporter_SLC25A13___mitochondrial,0.6449
Electrogenic_aspartate__glutamate_antiporter_SLC25A13___mitochondrial,ADP__ATP_translocase_2,0.6449
26S_proteasome_regulatory_subunit_4,ATPase_family_AAA_domain-containing_protein_3,0.645
ATPase_family_AAA_domain-containing_protein_3,26S_proteasome_regulatory_subunit_4,0.645
Coatomer_subunit_beta',Q7JQT9,0.645
Q7JQT9,Coatomer_subunit_beta',0.645
Q9VE98,Receptor_of_activated_protein_C_kinase_1,0.646
Receptor_of_activated_protein_C_kinase_1,Q9VE98,0.646
RNA_cytosine_C(5)-methyltransferase_NSUN2,Q9VDZ4,0.6461352657004831
26S_proteasome_regulatory_subunit_7,ATPase_family_AAA_domain-containing_protein_3,0.6465
ATPase_family_AAA_domain-containing_protein_3,26S_proteasome_regulatory_subunit_7,0.6465
Coatomer_subunit_beta',Q06506,0.6468
ADP__ATP_translocase_1,Electrogenic_aspartate__glutamate_antiporter_SLC25A13___mitochondrial,0.6469
Electrogenic_aspartate__glutamate_antiporter_SLC25A13___mitochondrial,ADP__ATP_translocase_1,0.6469
Q9VPR4,P35184,0.6469
O18640,Q9VE98,0.6471
Q9VE98,O18640,0.6471
Eukaryotic_initiation_factor_4A-I,Q9VD51,0.6478
Q9VD51,Eukaryotic_initiation_factor_4A-I,0.6478
Q9VKQ3,Q9VPR4,0.6479
Q9VPR4,Q9VKQ3,0.6479
Q9VV61,Elongation_factor_2,0.6503705629957093
Q7KNF1,Q02555,0.6505867014341591
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,P35184,0.6509
Q5U0X8,Receptor_of_activated_protein_C_kinase_1,0.6517
Receptor_of_activated_protein_C_kinase_1,Q5U0X8,0.6517
Q9VSS1,ATP-binding_cassette_sub-family_E_member_1,0.652
Heterogeneous_nuclear_ribonucleoprotein_U-like_protein_2,Heterogeneous_nuclear_ribonucleoprotein_U-like_protein_1,0.6533682145192936
Coatomer_subunit_beta',O18640,0.6534
O18640,Coatomer_subunit_beta',0.6534
Q7JQT9,Q9VE98,0.6534
Q9VE98,Q7JQT9,0.6534
O18640,Q7JQT9,0.6535
Q7JQT9,O18640,0.6535
Eukaryotic_initiation_factor_4A-III,Q9VD51,0.6544
Q9VD51,Eukaryotic_initiation_factor_4A-III,0.6544
Heterogeneous_nuclear_ribonucleoprotein_D0,Heterogeneous_nuclear_ribonucleoprotein_A3,0.6546
Q9U3Z7,P46223,0.654782116581777
Q9W4Z9,Receptor_of_activated_protein_C_kinase_1,0.6566
Receptor_of_activated_protein_C_kinase_1,Q9W4Z9,0.6566
O18640,Q5U0X8,0.6569
Q5U0X8,O18640,0.6569
Q5U0X8,Q9W4Z9,0.6571
Q9W4Z9,Q5U0X8,0.6571
Notchless_protein_homolog_1,Q9VE98,0.6573
Q9VE98,Notchless_protein_homolog_1,0.6573
Notchless_protein_homolog_1,Q7JQT9,0.6576
Q7JQT9,Notchless_protein_homolog_1,0.6576
Q9U3Z7,60S_ribosomal_protein_L7a,0.6576117713638936
P53331,Q9VRX7,0.6580023364485982
Eukaryotic_initiation_factor_4A-I,Q9VX34,0.6586
Q9VX34,Eukaryotic_initiation_factor_4A-I,0.6586
Q7JQT9,Receptor_of_activated_protein_C_kinase_1,0.6601
Receptor_of_activated_protein_C_kinase_1,Q7JQT9,0.6601
O18640,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.6612
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,O18640,0.6612
Eukaryotic_initiation_factor_4A-III,Q9VX34,0.6615
Q9VX34,Eukaryotic_initiation_factor_4A-III,0.6615
Nucleolar_protein_16,Q9V9U9,0.6615384615384615
Heterogeneous_nuclear_ribonucleoprotein_U-like_protein_2,Heterogeneous_nuclear_ribonucleoprotein_U,0.6618705035971223
La-related_protein_1,La-related_protein_4B,0.6620234604105572
RPL10A,Ribosomal_protein,0.6622002820874471
P53331,Q12090,0.6623831775700935
O18640,Q9W4Z9,0.6628
Q9W4Z9,O18640,0.6628
P39990,P46223,0.666083916083916
RPS9,Q95RG1,0.6669297553275454
Lupus_La_protein_homolog,La-related_protein_4,0.6669421487603305
ATP-dependent_RNA_helicase_DDX1,Q9VX34,0.6677
Q9VX34,ATP-dependent_RNA_helicase_DDX1,0.6677
P40991,Q9VDZ4,0.6684512428298279
P39990,60S_ribosomal_protein_L7a,0.668997668997669
Non-POU_domain-containing_octamer-binding_protein,Paraspeckle_component_1,0.6701
Paraspeckle_component_1,Non-POU_domain-containing_octamer-binding_protein,0.6701
Q7JQT9,Q06506,0.6713
Importin_subunit_beta-1,Importin-5,0.6721763085399449
Histone-binding_protein_RBBP4,Q04225,0.6729
Probable_ATP-dependent_RNA_helicase_DDX31,Probable_ATP-dependent_RNA_helicase_DDX6,0.6729
Probable_ATP-dependent_RNA_helicase_DDX6,Probable_ATP-dependent_RNA_helicase_DDX31,0.6729
Q7JQT9,Q9VPR4,0.6729
Q9VPR4,Q7JQT9,0.6729
Q9VE98,Q06506,0.673
ATP-dependent_RNA_helicase_DDX18,Eukaryotic_initiation_factor_4A-I,0.6735
Eukaryotic_initiation_factor_4A-I,ATP-dependent_RNA_helicase_DDX18,0.6735
Notchless_protein_homolog_1,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.674
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,Notchless_protein_homolog_1,0.674
26S_proteasome_regulatory_subunit_10B,ATPase_family_AAA_domain-containing_protein_3,0.6768
ATPase_family_AAA_domain-containing_protein_3,26S_proteasome_regulatory_subunit_10B,0.6768
Q9V3U2,P46223,0.6769940672379697
NHP2-like_protein_1,P46223,0.6773618538324421
Q9VV61,Elongation_factor_1-alpha_1,0.6780652710960864
Q9VTL5,Q9VBU2,0.678601165695254
ATP-binding_cassette_sub-family_E_member_1,Q9VSS1,0.678813118167621
Q9VPR4,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.6791
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,Q9VPR4,0.6791
Spectrin_alpha_chain___non-erythrocytic_1,Spectrin_beta_chain___non-erythrocytic_1,0.679823976530204
Pumilio_homolog_3,Q04373,0.6801210898082745
Q9V3U2,60S_ribosomal_protein_L7a,0.6802900461437047
NHP2-like_protein_1,60S_ribosomal_protein_L7a,0.6803327391562686
ATP-dependent_RNA_helicase_DDX18,Eukaryotic_initiation_factor_4A-III,0.6805
Eukaryotic_initiation_factor_4A-III,ATP-dependent_RNA_helicase_DDX18,0.6805
Q9VPR4,Q06506,0.6815
NOP2_nucleolar_protein,Q9VDZ4,0.6819258089976322
ATP-dependent_RNA_helicase_DDX1,Probable_ATP-dependent_RNA_helicase_DDX31,0.683
Probable_ATP-dependent_RNA_helicase_DDX31,ATP-dependent_RNA_helicase_DDX1,0.683
Q86B47,Q9VVK8,0.683
Q9VVK8,Q86B47,0.683
Q9VRH6,Elongation_factor_1-alpha_1,0.6830949284785436
RISC-loading_complex_subunit_TARBP2,Staufen_double-stranded_RNA_binding_protein_1,0.6835443037974683
Probable_ATP-dependent_RNA_helicase_DDX6,Q9VD51,0.6843
Q9VD51,Probable_ATP-dependent_RNA_helicase_DDX6,0.6843
P46948,P48240,0.6849656893325016
P13060,Elongation_factor_1-alpha_1,0.6886564762670957
Serine__arginine-rich_splicing_factor_5,Serine__arginine-rich_splicing_factor_3,0.6886752438851972
ATP-dependent_RNA_helicase_DDX24,Eukaryotic_initiation_factor_4A-I,0.6911
Eukaryotic_initiation_factor_4A-I,ATP-dependent_RNA_helicase_DDX24,0.6911
Ribosomal_L1_domain-containing_protein_1,Q9VLK2,0.6913319238900634
ATP-dependent_RNA_helicase_DDX3X,Q86B47,0.692
Q86B47,ATP-dependent_RNA_helicase_DDX3X,0.692
Q9W1T3,Q7KVJ1,0.6923076923076923
ATP-dependent_RNA_helicase_DDX1,Q9VD51,0.6929
Q9VD51,ATP-dependent_RNA_helicase_DDX1,0.6929
Probable_ATP-dependent_RNA_helicase_DDX6,Q9VX34,0.693
Q9VX34,Probable_ATP-dependent_RNA_helicase_DDX6,0.693
Probable_ATP-dependent_RNA_helicase_DDX5,Q86B47,0.6933
Q86B47,Probable_ATP-dependent_RNA_helicase_DDX5,0.6933
Elongation_factor_2,Elongation_factor_1-alpha_1,0.6961054287962234
ATP-dependent_RNA_helicase_DDX24,Eukaryotic_initiation_factor_4A-III,0.6969
Eukaryotic_initiation_factor_4A-III,ATP-dependent_RNA_helicase_DDX24,0.6969
Probable_ATP-dependent_RNA_helicase_DDX46,Q86B47,0.6969
Q86B47,Probable_ATP-dependent_RNA_helicase_DDX46,0.6969
Filamin-A,Spectrin_beta_chain___non-erythrocytic_1,0.6969595723354494
Q7K4B2,WD_repeat-containing_protein_74,0.699288256227758
La-related_protein_4B,Lupus_La_protein_homolog,0.6994127068873465
Probable_ATP-dependent_RNA_helicase_DDX17,Q86B47,0.6996
Q86B47,Probable_ATP-dependent_RNA_helicase_DDX17,0.6996
Serine__arginine-rich_splicing_factor_5,Serine__arginine-rich_splicing_factor_1,0.7009755407889156
Splicing_factor_45,Isoform_2_of_Poly(U)-binding-splicing_factor_PUF60,0.7014270032930845
ATP-dependent_RNA_helicase_DDX1,ATP-dependent_RNA_helicase_DDX18,0.7026
ATP-dependent_RNA_helicase_DDX18,ATP-dependent_RNA_helicase_DDX1,0.7026
ATP-dependent_RNA_helicase_DDX18,Probable_ATP-dependent_RNA_helicase_DDX6,0.703
Probable_ATP-dependent_RNA_helicase_DDX6,ATP-dependent_RNA_helicase_DDX18,0.703
Q9VXW3,Q9VXW4,0.705114254624592
Notchless_protein_homolog_1,Q06506,0.7056
RRP15-like_protein,Q9VFE6,0.7066666666666667
Tetratricopeptide_repeat_domain_37,UDP-N-acetylglucosamine--peptide_N-acetylglucosaminyltransferase_110_kDa_subunit,0.706984667802385
Elongation_factor_1-alpha_1,Q9VV61,0.7077904451682954
Q86B47,Q9VPT3,0.7103
Q9VPT3,Q86B47,0.7103
Elongation_factor_1-alpha_1,Q9VRH6,0.7129478827361564
Q9W1A3,P25040,0.7146464646464646
ATP-dependent_RNA_helicase_DDX24,Probable_ATP-dependent_RNA_helicase_DDX6,0.7161
Probable_ATP-dependent_RNA_helicase_DDX6,ATP-dependent_RNA_helicase_DDX24,0.7161
Q9VPR4,Receptor_of_activated_protein_C_kinase_1,0.717
Receptor_of_activated_protein_C_kinase_1,Q9VPR4,0.717
P40507,Q8T8R1,0.7182952182952183
Receptor_of_activated_protein_C_kinase_1,Q06506,0.7183
Heterochromatin_protein_1-binding_protein_3,Histone_H1,0.71875
Nucleolar_RNA_helicase_2,Q86B47,0.7194
Q86B47,Nucleolar_RNA_helicase_2,0.7194
P53331,Q9H9L3,0.7237149532710281
La-related_protein_1,Lupus_La_protein_homolog,0.7239736070381232
Q9VP77,DnaJ_homolog_subfamily_C_member_21,0.7249318388367162
P53972,Q9VPX3,0.7257454850902982
